1, extreme_hills, still_life:alpine_heathlands, MONSTER, minecraft:spider, 80, 4, 4
50, extreme_hills, still_life:alpine_plains, CREATURE, minecraft:pig, 10, 4, 4
51, extreme_hills, still_life:alpine_plains, CREATURE, minecraft:chicken, 10, 4, 4
52, extreme_hills, still_life:alpine_plains, CREATURE, minecraft:goat, 10, 4, 4
53, extreme_hills, still_life:alpine_plains, CREATURE, minecraft:horse, 10, 2, 6
54, extreme_hills, still_life:alpine_plains, CREATURE, minecraft:donkey, 10, 1, 1
55, extreme_hills, still_life:alpine_plains, CREATURE, exoticbirds:pigeon, 12, 2, 5
56, extreme_hills, still_life:alpine_plains, CREATURE, epichunt:goat, 10, 1, 3
58, extreme_hills, still_life:alpine_plains, CREATURE, epichunt:owl, 12, 1, 2
59, extreme_hills, still_life:alpine_plains, AMBIENT, minecraft:bat,80, 8, 8
60, extreme_hills, still_life:alpine_plains, AMBIENT, epichunt:kestrel, 10, 1, 1
61, extreme_hills, still_life:alpine_plains, AMBIENT, epichunt:eagle, 10, 1, 1
62, extreme_hills, still_life:alpine_plains, AMBIENT, epichunt:hawk, 10, 1, 1
63, extreme_hills, still_life:alpine_plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
64, extreme_hills, still_life:alpine_plains, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
65, extreme_hills, still_life:alpine_plains, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
66, extreme_hills, still_life:alpine_plains, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
67, extreme_hills, still_life:alpine_plains, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
68, extreme_hills, still_life:alpine_plains, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
77, extreme_hills, still_life:alpine_plains, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
78, extreme_hills, still_life:alpine_plains, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
79, extreme_hills, still_life:alpine_plains, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
80, extreme_hills, still_life:alpine_plains, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
81, extreme_hills, still_life:alpine_tundra, MONSTER, minecraft:spider, 50, 4, 4
82, extreme_hills, still_life:alpine_tundra, MONSTER, minecraft:zombie, 80, 4, 4
83, extreme_hills, still_life:alpine_tundra, MONSTER, minecraft:zombie_villager, 10, 1, 1
84, extreme_hills, still_life:alpine_tundra, MONSTER, minecraft:skeleton, 80, 4, 4
85, extreme_hills, still_life:alpine_tundra, MONSTER, minecraft:creeper, 50, 4, 4
86, extreme_hills, still_life:alpine_tundra, MONSTER, minecraft:slime, 80, 4, 4
87, extreme_hills, still_life:alpine_tundra, MONSTER, minecraft:enderman, 5, 1, 4
88, extreme_hills, still_life:alpine_tundra, MONSTER, minecraft:witch, 5, 1, 1
89, extreme_hills, still_life:alpine_tundra, CREATURE, minecraft:goat, 10, 2, 3
90, extreme_hills, still_life:alpine_tundra, CREATURE, exoticbirds:pigeon, 12, 2, 5
91, extreme_hills, still_life:alpine_tundra, CREATURE, epichunt:goat, 10, 1, 3
93, extreme_hills, still_life:alpine_tundra, CREATURE, epichunt:owl, 12, 1, 2
94, extreme_hills, still_life:alpine_tundra, AMBIENT, minecraft:bat,80, 8, 8
95, extreme_hills, still_life:alpine_tundra, AMBIENT, epichunt:kestrel, 10, 1, 1
96, extreme_hills, still_life:alpine_tundra, AMBIENT, epichunt:eagle, 10, 1, 1
97, extreme_hills, still_life:alpine_tundra, AMBIENT, epichunt:hawk, 10, 1, 1
98, extreme_hills, still_life:alpine_tundra, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
99, extreme_hills, still_life:alpine_tundra, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
100, extreme_hills, still_life:alpine_tundra, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
101, extreme_hills, still_life:alpine_tundra, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
102, extreme_hills, still_life:alpine_tundra, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
103, extreme_hills, still_life:alpine_tundra, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
112, extreme_hills, still_life:alpine_tundra, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
113, extreme_hills, still_life:alpine_tundra, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
114, extreme_hills, still_life:alpine_tundra, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
115, extreme_hills, still_life:alpine_tundra, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
116, beach, still_life:arctic_beach, MONSTER, minecraft:spider, 80, 4, 4
117, beach, still_life:arctic_beach, MONSTER, minecraft:zombie, 80, 4, 4
118, beach, still_life:arctic_beach, MONSTER, minecraft:zombie_villager, 10, 1, 1
119, beach, still_life:arctic_beach, MONSTER, minecraft:skeleton, 10, 4, 4
120, beach, still_life:arctic_beach, MONSTER, minecraft:creeper, 80, 4, 4
121, beach, still_life:arctic_beach, MONSTER, minecraft:slime, 80, 4, 4
122, beach, still_life:arctic_beach, MONSTER, minecraft:enderman, 5, 1, 4
123, beach, still_life:arctic_beach, MONSTER, minecraft:witch, 5, 1, 1
124, beach, still_life:arctic_beach, MONSTER, minecraft:stray, 80, 4, 4
125, beach, still_life:arctic_beach, CREATURE, minecraft:polar_bear, 10, 1, 2
126, beach, still_life:arctic_beach, CREATURE, exoticbirds:booby, 10, 2, 5
127, beach, still_life:arctic_beach, CREATURE, exoticbirds:duck, 10, 2, 5
128, beach, still_life:arctic_beach, CREATURE, exoticbirds:flamingo, 10, 2, 5
129, beach, still_life:arctic_beach, CREATURE, exoticbirds:gull, 12, 2, 5
130, beach, still_life:arctic_beach, CREATURE, exoticbirds:heron, 10, 2, 5
131, beach, still_life:arctic_beach, CREATURE, exoticbirds:pelican, 10, 2, 5
132, beach, still_life:arctic_beach, CREATURE, exoticbirds:pigeon, 12, 2, 5
133, beach, still_life:arctic_beach, CREATURE, exoticbirds:swan, 10, 2, 5
134, beach, still_life:arctic_beach, CREATURE, epichunt:great_auk, 12, 2, 4
135, beach, still_life:arctic_beach, CREATURE, epichunt:razorbill, 12, 2, 4
136, beach, still_life:arctic_beach, AMBIENT, minecraft:bat,80, 8, 8
137, beach, still_life:arctic_beach, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
138, beach, still_life:arctic_beach, WATER_AMBIENT, aquaculture:atlantic_halibut, 10, 1, 1
139, beach, still_life:arctic_beach, WATER_AMBIENT, aquaculture:atlantic_herring, 20, 1, 6
140, beach, still_life:arctic_beach, WATER_AMBIENT, epichunt:bass, 70, 3, 5
141, beach, still_life:arctic_beach, WATER_AMBIENT, epichunt:halibut, 70, 3, 5
142, beach, still_life:arctic_beach, WATER_AMBIENT, epichunt:mackerel, 80, 8, 10
143, beach, still_life:arctic_beach, WATER_AMBIENT, epichunt:herring, 80, 7, 10
144, beach, still_life:arctic_beach, WATER_AMBIENT, epichunt:sardine, 80, 8, 10
145, beach, still_life:arctic_beach, WATER_AMBIENT, epichunt:pollock, 70, 3, 5
146, beach, still_life:arctic_beach, WATER_AMBIENT, epichunt:sturgeon, 20, 1, 1
155, beach, still_life:arctic_beach, WATER_AMBIENT, aquaculture:jellyfish, 10, 1, 3
156, beach, still_life:arctic_beach, WATER_AMBIENT, aquaculture:red_grouper, 10, 1, 2
157, beach, still_life:arctic_beach, WATER_AMBIENT, aquaculture:tuna, 10, 1, 1
158, ocean, still_life:arctic_deep_ocean, MONSTER, minecraft:spider, 80, 4, 4
159, ocean, still_life:arctic_deep_ocean, MONSTER, minecraft:zombie, 80, 4, 4
160, ocean, still_life:arctic_deep_ocean, MONSTER, minecraft:zombie_villager, 10, 1, 1
161, ocean, still_life:arctic_deep_ocean, MONSTER, minecraft:skeleton, 10, 4, 4
162, ocean, still_life:arctic_deep_ocean, MONSTER, minecraft:creeper, 80, 4, 4
163, ocean, still_life:arctic_deep_ocean, MONSTER, minecraft:slime, 80, 4, 4
164, ocean, still_life:arctic_deep_ocean, MONSTER, minecraft:enderman, 5, 1, 4
165, ocean, still_life:arctic_deep_ocean, MONSTER, minecraft:witch, 5, 1, 1
166, ocean, still_life:arctic_deep_ocean, MONSTER, minecraft:stray, 80, 4, 4
167, ocean, still_life:arctic_deep_ocean, MONSTER, epichunt:white_shark, 12, 1, 2
168, ocean, still_life:arctic_deep_ocean, CREATURE, minecraft:polar_bear, 10, 1, 2
169, ocean, still_life:arctic_deep_ocean, CREATURE, exoticbirds:pigeon, 12, 2, 5
170, ocean, still_life:arctic_deep_ocean, AMBIENT, minecraft:bat,80, 8, 8
171, ocean, still_life:arctic_deep_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
172, ocean, still_life:arctic_deep_ocean, WATER_CREATURE, minecraft:squid, 10, 1, 4
173, ocean, still_life:arctic_deep_ocean, WATER_CREATURE, epichunt:whale, 10, 1, 5
174, ocean, still_life:arctic_deep_ocean, WATER_CREATURE, epichunt:orca, 10, 1, 2
175, ocean, still_life:arctic_deep_ocean, WATER_AMBIENT, minecraft:cod, 25, 8, 8
176, ocean, still_life:arctic_deep_ocean, WATER_AMBIENT, aquaculture:atlantic_halibut, 10, 1, 1
177, ocean, still_life:arctic_deep_ocean, WATER_AMBIENT, aquaculture:atlantic_herring, 20, 1, 6
178, ocean, still_life:arctic_deep_ocean, WATER_AMBIENT, epichunt:bass, 70, 3, 5
179, ocean, still_life:arctic_deep_ocean, WATER_AMBIENT, epichunt:halibut, 70, 3, 5
180, ocean, still_life:arctic_deep_ocean, WATER_AMBIENT, epichunt:mackerel, 80, 8, 10
181, ocean, still_life:arctic_deep_ocean, WATER_AMBIENT, epichunt:herring, 80, 7, 10
182, ocean, still_life:arctic_deep_ocean, WATER_AMBIENT, epichunt:sardine, 80, 8, 10
183, ocean, still_life:arctic_deep_ocean, WATER_AMBIENT, epichunt:pollock, 70, 3, 5
184, ocean, still_life:arctic_deep_ocean, WATER_AMBIENT, epichunt:sturgeon, 20, 1, 1
185, ocean, still_life:arctic_deep_ocean, WATER_AMBIENT, aquaculture:jellyfish, 10, 1, 3
186, ocean, still_life:arctic_deep_ocean, WATER_AMBIENT, aquaculture:red_grouper, 10, 1, 2
187, ocean, still_life:arctic_deep_ocean, WATER_AMBIENT, aquaculture:tuna, 10, 1, 1
188, none, still_life:arctic_desert, MONSTER, minecraft:spider, 80, 4, 4
189, none, still_life:arctic_desert, MONSTER, minecraft:zombie, 80, 4, 4
190, none, still_life:arctic_desert, MONSTER, minecraft:zombie_villager, 10, 1, 1
191, none, still_life:arctic_desert, MONSTER, minecraft:skeleton, 10, 4, 4
192, none, still_life:arctic_desert, MONSTER, minecraft:creeper, 80, 4, 4
193, none, still_life:arctic_desert, MONSTER, minecraft:slime, 80, 4, 4
194, none, still_life:arctic_desert, MONSTER, minecraft:enderman, 5, 1, 4
195, none, still_life:arctic_desert, MONSTER, minecraft:witch, 5, 1, 1
196, none, still_life:arctic_desert, MONSTER, minecraft:stray, 80, 4, 4
197, none, still_life:arctic_desert, CREATURE, minecraft:polar_bear, 10, 1, 2
198, none, still_life:arctic_desert, CREATURE, exoticbirds:pigeon, 12, 2, 5
199, none, still_life:arctic_desert, AMBIENT, minecraft:bat,80, 8, 8
200, none, still_life:arctic_desert, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
201, none, still_life:arctic_desert, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
202, none, still_life:arctic_desert, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
203, none, still_life:arctic_desert, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
204, none, still_life:arctic_desert, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
205, none, still_life:arctic_desert, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
214, none, still_life:arctic_desert, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
215, none, still_life:arctic_desert, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
216, none, still_life:arctic_desert, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
217, none, still_life:arctic_desert, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
218, none, still_life:arctic_desert_basin, MONSTER, minecraft:spider, 80, 4, 4
219, none, still_life:arctic_desert_basin, MONSTER, minecraft:zombie, 80, 4, 4
220, none, still_life:arctic_desert_basin, MONSTER, minecraft:zombie_villager, 10, 1, 1
221, none, still_life:arctic_desert_basin, MONSTER, minecraft:skeleton, 10, 4, 4
222, none, still_life:arctic_desert_basin, MONSTER, minecraft:creeper, 80, 4, 4
223, none, still_life:arctic_desert_basin, MONSTER, minecraft:slime, 80, 4, 4
224, none, still_life:arctic_desert_basin, MONSTER, minecraft:enderman, 5, 1, 4
225, none, still_life:arctic_desert_basin, MONSTER, minecraft:witch, 5, 1, 1
226, none, still_life:arctic_desert_basin, MONSTER, minecraft:stray, 80, 4, 4
227, none, still_life:arctic_desert_basin, CREATURE, minecraft:polar_bear, 10, 1, 2
228, none, still_life:arctic_desert_basin, CREATURE, minecraft:cow, 10, 4, 4
229, none, still_life:arctic_desert_basin, CREATURE, exoticbirds:pigeon, 12, 2, 5
230, none, still_life:arctic_desert_basin, AMBIENT, minecraft:bat,80, 8, 8
231, none, still_life:arctic_desert_basin, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
232, none, still_life:arctic_desert_basin, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
233, none, still_life:arctic_desert_basin, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
234, none, still_life:arctic_desert_basin, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
235, none, still_life:arctic_desert_basin, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
236, none, still_life:arctic_desert_basin, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
245, none, still_life:arctic_desert_basin, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
246, none, still_life:arctic_desert_basin, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
247, none, still_life:arctic_desert_basin, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
248, none, still_life:arctic_desert_basin, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
249, none, still_life:arctic_glacier, MONSTER, minecraft:spider, 80, 4, 4
250, none, still_life:arctic_glacier, MONSTER, minecraft:zombie, 80, 4, 4
251, none, still_life:arctic_glacier, MONSTER, minecraft:zombie_villager, 10, 1, 1
252, none, still_life:arctic_glacier, MONSTER, minecraft:skeleton, 10, 4, 4
253, none, still_life:arctic_glacier, MONSTER, minecraft:creeper, 80, 4, 4
254, none, still_life:arctic_glacier, MONSTER, minecraft:slime, 80, 4, 4
255, none, still_life:arctic_glacier, MONSTER, minecraft:enderman, 5, 1, 4
256, none, still_life:arctic_glacier, MONSTER, minecraft:witch, 5, 1, 1
257, none, still_life:arctic_glacier, MONSTER, minecraft:stray, 80, 4, 4
258, none, still_life:arctic_glacier, CREATURE, minecraft:polar_bear, 10, 1, 2
259, none, still_life:arctic_glacier, CREATURE, exoticbirds:pigeon, 12, 2, 5
260, none, still_life:arctic_glacier, AMBIENT, minecraft:bat,80, 8, 8
261, none, still_life:arctic_glacier, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
262, none, still_life:arctic_glacier, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
263, none, still_life:arctic_glacier, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
264, none, still_life:arctic_glacier, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
265, none, still_life:arctic_glacier, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
266, none, still_life:arctic_glacier, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
275, none, still_life:arctic_glacier, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
276, none, still_life:arctic_glacier, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
277, none, still_life:arctic_glacier, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
278, none, still_life:arctic_glacier, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
279, river, still_life:arctic_river, MONSTER, minecraft:spider, 80, 4, 4
280, river, still_life:arctic_river, MONSTER, minecraft:zombie, 80, 4, 4
281, river, still_life:arctic_river, MONSTER, minecraft:zombie_villager, 10, 1, 1
282, river, still_life:arctic_river, MONSTER, minecraft:skeleton, 10, 4, 4
283, river, still_life:arctic_river, MONSTER, minecraft:creeper, 80, 4, 4
284, river, still_life:arctic_river, MONSTER, minecraft:slime, 80, 4, 4
285, river, still_life:arctic_river, MONSTER, minecraft:enderman, 5, 1, 4
286, river, still_life:arctic_river, MONSTER, minecraft:witch, 5, 1, 1
287, river, still_life:arctic_river, MONSTER, minecraft:stray, 80, 4, 4
288, river, still_life:arctic_river, CREATURE, exoticbirds:duck, 10, 2, 5
289, river, still_life:arctic_river, CREATURE, exoticbirds:flamingo, 10, 2, 5
290, river, still_life:arctic_river, CREATURE, exoticbirds:gull, 12, 2, 5
291, river, still_life:arctic_river, CREATURE, exoticbirds:heron, 10, 2, 5
292, river, still_life:arctic_river, CREATURE, exoticbirds:hummingbird, 20, 2, 5
293, river, still_life:arctic_river, CREATURE, exoticbirds:kingfisher, 10, 2, 5
294, river, still_life:arctic_river, CREATURE, exoticbirds:pelican, 10, 2, 5
295, river, still_life:arctic_river, CREATURE, exoticbirds:pigeon, 12, 2, 5
296, river, still_life:arctic_river, CREATURE, exoticbirds:swan, 10, 2, 5
297, river, still_life:arctic_river, CREATURE, epichunt:beaver, 10, 1, 3
298, river, still_life:arctic_river, CREATURE, epichunt:duck,0, 1, 3
299, river, still_life:arctic_river, CREATURE, epichunt:drake,0, 1, 3
300, river, still_life:arctic_river, CREATURE, epichunt:goose, 10, 2, 4
301, river, still_life:arctic_river, CREATURE, epichunt:white_stork, 12, 2, 2
302, river, still_life:arctic_river, CREATURE, epichunt:common_crane, 12, 2, 2
303, river, still_life:arctic_river, CREATURE, epichunt:loon, 12, 2, 4
304, river, still_life:arctic_river, AMBIENT, minecraft:bat,80, 8, 8
305, river, still_life:arctic_river, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
306, river, still_life:arctic_river, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
307, river, still_life:arctic_river, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
308, river, still_life:arctic_river, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
309, river, still_life:arctic_river, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
310, river, still_life:arctic_river, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
311, river, still_life:arctic_river, WATER_AMBIENT, epichunt:carp,10, 3, 5
312, river, still_life:arctic_river, WATER_AMBIENT, epichunt:eel,10, 1, 3
313, river, still_life:arctic_river, WATER_AMBIENT, epichunt:perches,10, 3, 5
314, river, still_life:arctic_river, WATER_AMBIENT, epichunt:pikefish,10, 3, 5
315, river, still_life:arctic_river, WATER_AMBIENT, epichunt:roach,10, 3, 5
316, river, still_life:arctic_river, WATER_AMBIENT, epichunt:zander,10, 3, 5
317, river, still_life:arctic_river, WATER_AMBIENT, epichunt:trout,10, 3, 5
318, river, still_life:arctic_river, WATER_AMBIENT, epichunt:catfish,10, 1, 1
319, river, still_life:arctic_river, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
320, river, still_life:arctic_river, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
321, river, still_life:arctic_river, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
322, river, still_life:arctic_river, WATER_AMBIENT, aquaculture:rainbow_trout, 10, 2, 4
323, river, still_life:arctic_river, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
324, ocean, still_life:arctic_shallow_ocean, MONSTER, minecraft:spider, 80, 4, 4
325, ocean, still_life:arctic_shallow_ocean, MONSTER, minecraft:zombie, 80, 4, 4
326, ocean, still_life:arctic_shallow_ocean, MONSTER, minecraft:zombie_villager, 10, 1, 1
327, ocean, still_life:arctic_shallow_ocean, MONSTER, minecraft:skeleton, 10, 4, 4
328, ocean, still_life:arctic_shallow_ocean, MONSTER, minecraft:creeper, 80, 4, 4
329, ocean, still_life:arctic_shallow_ocean, MONSTER, minecraft:slime, 80, 4, 4
330, ocean, still_life:arctic_shallow_ocean, MONSTER, minecraft:enderman, 5, 1, 4
331, ocean, still_life:arctic_shallow_ocean, MONSTER, minecraft:witch, 5, 1, 1
332, ocean, still_life:arctic_shallow_ocean, MONSTER, minecraft:stray, 80, 4, 4
333, ocean, still_life:arctic_shallow_ocean, MONSTER, epichunt:white_shark, 12, 1, 2
334, ocean, still_life:arctic_shallow_ocean, CREATURE, minecraft:polar_bear, 10, 1, 2
335, ocean, still_life:arctic_shallow_ocean, CREATURE, exoticbirds:pigeon, 12, 2, 5
336, ocean, still_life:arctic_shallow_ocean, CREATURE, epichunt:great_auk, 12, 2, 4
337, ocean, still_life:arctic_shallow_ocean, CREATURE, epichunt:razorbill, 12, 2, 4
338, ocean, still_life:arctic_shallow_ocean, AMBIENT, minecraft:bat,80, 8, 8
339, ocean, still_life:arctic_shallow_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
340, ocean, still_life:arctic_shallow_ocean, WATER_CREATURE, minecraft:squid, 10, 1, 4
341, ocean, still_life:arctic_shallow_ocean, WATER_CREATURE, epichunt:narwhal, 12, 2, 5
342, ocean, still_life:arctic_shallow_ocean, WATER_CREATURE, epichunt:whale, 10, 1, 5
343, ocean, still_life:arctic_shallow_ocean, WATER_CREATURE, epichunt:orca, 10, 1, 2
344, ocean, still_life:arctic_shallow_ocean, WATER_AMBIENT, minecraft:cod, 25, 8, 8
345, ocean, still_life:arctic_shallow_ocean, WATER_AMBIENT, aquaculture:atlantic_halibut, 10, 1, 1
346, ocean, still_life:arctic_shallow_ocean, WATER_AMBIENT, aquaculture:atlantic_herring, 20, 1, 6
347, ocean, still_life:arctic_shallow_ocean, WATER_AMBIENT, epichunt:bass, 70, 3, 5
348, ocean, still_life:arctic_shallow_ocean, WATER_AMBIENT, epichunt:halibut, 70, 3, 5
349, ocean, still_life:arctic_shallow_ocean, WATER_AMBIENT, epichunt:mackerel, 80, 8, 10
350, ocean, still_life:arctic_shallow_ocean, WATER_AMBIENT, epichunt:herring, 80, 7, 10
351, ocean, still_life:arctic_shallow_ocean, WATER_AMBIENT, epichunt:sardine, 80, 8, 10
352, ocean, still_life:arctic_shallow_ocean, WATER_AMBIENT, epichunt:pollock, 70, 3, 5
353, ocean, still_life:arctic_shallow_ocean, WATER_AMBIENT, epichunt:sturgeon, 20, 1, 1
354, ocean, still_life:arctic_shallow_ocean, WATER_AMBIENT, aquaculture:jellyfish, 10, 1, 3
355, ocean, still_life:arctic_shallow_ocean, WATER_AMBIENT, aquaculture:red_grouper, 10, 1, 2
356, ocean, still_life:arctic_shallow_ocean, WATER_AMBIENT, aquaculture:tuna, 10, 1, 1
357, none, still_life:arctic_tundra, MONSTER, minecraft:spider, 80, 4, 4
358, none, still_life:arctic_tundra, MONSTER, minecraft:zombie, 80, 4, 4
359, none, still_life:arctic_tundra, MONSTER, minecraft:zombie_villager, 10, 1, 1
360, none, still_life:arctic_tundra, MONSTER, minecraft:skeleton, 80, 4, 4
361, none, still_life:arctic_tundra, MONSTER, minecraft:creeper, 80, 4, 4
362, none, still_life:arctic_tundra, MONSTER, minecraft:slime, 80, 4, 4
363, none, still_life:arctic_tundra, MONSTER, minecraft:enderman, 5, 1, 4
364, none, still_life:arctic_tundra, MONSTER, minecraft:witch, 5, 1, 1
365, none, still_life:arctic_tundra, CREATURE, minecraft:rabbit, 10, 2, 3
366, none, still_life:arctic_tundra, CREATURE, minecraft:sheep, 10, 4, 4
